-19	3	0	-464	-193	-487	15	100879478	100887194
-19	3	0	-463	-196	-484	15	100887213	100895819
-18	2	2	-463	-196	-484	15	100895830	100901469
-15	0	1	-463	-198	-480	15	100901476	100907320
-15	0	1	-463	-198	-480	15	100907328	100913801
-19	0	5	-462	-199	-477	15	100913812	100919855
-17	3	0	-461	-199	-476	15	100919862	100926670
-17	3	0	-460	-196	-476	15	100926677	100934720
-19	0	4	-460	-196	-476	15	100934727	100943014
-20	4	1	-458	-192	-476	14	100943021	100948653
-20	4	1	-457	-188	-477	14	100948660	100954505
-18	2	-2	-457	-188	-477	14	100954512	100960157
-18	2	-2	-456	-183	-479	14	100960164	100965998
-21	7	-2	-456	-183	-479	14	100966006	100973466
-23	4	2	-454	-178	-481	14	100973481	100980442
-20	5	0	-454	-174	-482	14	100980449	100987168
-20	5	0	-454	-171	-482	14	100987175	100995622
-17	2	5	-454	-171	-482	14	100995629	101002102
-21	4	4	-456	-170	-483	14	101002117	101008639
-21	4	4	-458	-168	-487	15	101008647	101016347
-26	6	5	-460	-168	-493	15	101016355	101024401
-31	8	2	-460	-168	-493	15	101024409	101032061
-24	6	2	-458	-167	-500	15	101032068	101038573
-24	6	2	-454	-167	-508	15	101038580	101046472
-23	9	4	-454	-167	-508	15	101046479	101052110
-20	7	0	-446	-167	-517	15	101052117	101057942
-20	7	0	-437	-167	-527	15	101057950	101063755
-18	4	5	-437	-167	-527	15	101063762	101069403
-18	4	5	-425	-166	-536	15	101069411	101077067
-17	10	-1	-415	-166	-546	15	101077086	101085159
-21	10	0	-415	-166	-546	15	101085170	101093380
-22	14	-3	-405	-163	-556	15	101093387	101099106
-22	14	-3	-394	-161	-564	15	101099117	101104972
-22	14	-5	-394	-161	-564	15	101104979	101110626
-22	14	-5	-382	-157	-570	15	101110634	101116392
-21	10	0	-382	-157	-570	15	101116399	101122936
-19	8	-1	-369	-154	-574	15	101122943	101129334
-19	10	-1	-357	-151	-577	15	101129341	101136759
-19	10	-1	-344	-148	-579	14	101136767	101144869
-20	13	0	-344	-148	-579	14	101144876	101150523
-20	13	0	-332	-145	-579	14	101150531	101156593
-16	8	3	-332	-145	-579	14	101156609	101162277
-17	4	5	-320	-143	-580	14	101162284	101168121
-17	4	5	-310	-141	-580	14	101168129	101174944
-18	4	0	-310	-141	-580	14	101174959	101183055
-16	1	2	-300	-139	-581	14	101183066	101189480
-21	6	2	-290	-137	-582	13	101189487	101197076
-21	6	2	-290	-137	-582	13	101197087	101202733
-18	10	3	-280	-134	-584	13	101202740	101208660
-18	10	3	-269	-131	-586	13	101208667	101214342
-21	15	-2	-269	-131	-586	13	101214349	101219982
-21	15	-2	-259	-127	-587	13	101219989	101226433
-20	16	-3	-249	-124	-587	13	101226440	101234507
-13	24	-3	-249	-124	-587	13	101234514	101241864
-10	18	0	-242	-122	-583	13	101241872	101248348
-10	18	0	-242	-122	-583	13	101248355	101254185
-15	11	1	-239	-122	-579	12	101254192	101259881
-15	11	1	-239	-120	-575	12	101259888	101265743
-18	10	-1	-239	-120	-575	12	101265750	101271386
-15	5	6	-239	-121	-568	12	101271393	101278305
-15	5	6	-240	-123	-561	12	101278321	101286399
-13	3	4	-244	-125	-555	12	101286406	101294620
-15	7	2	-244	-125	-555	12	101294627	101300327
-15	7	2	-249	-127	-551	12	101300339	101306150
-19	9	-3	-249	-127	-551	12	101306158	101311805
-17	8	0	-255	-128	-546	12	101311812	101317616
-17	8	0	-255	-128	-546	12	101317624	101324048
-17	8	2	-260	-129	-540	11	101324055	101330907
-19	5	7	-265	-129	-535	11	101330914	101337762
-19	5	7	-271	-128	-533	11	101337770	101346146
-19	11	2	-271	-128	-533	11	101346154	101351784
-19	8	1	-277	-126	-532	11	101351791	101357681
-19	8	1	-277	-126	-532	11	101357689	101363622
-21	5	5	-283	-125	-533	12	101363630	101369261
-21	5	5	-287	-124	-533	12	101369268	101375690
-21	7	0	-291	-124	-533	12	101375698	101384368
-18	4	1	-291	-124	-533	12	101384387	101391668
-20	2	3	-295	-125	-535	12	101391675	101398440
-20	2	3	-295	-125	-535	12	101398451	101404101
-17	2	3	-300	-126	-536	12	101404108	101409754
-17	2	3	-305	-128	-539	12	101409761	101415644
-18	0	2	-305	-128	-539	12	101415651	101421282
-21	3	-2	-310	-131	-541	12	101421290	101427829
-21	3	-2	-316	-135	-543	13	101427836	101435975
-20	2	0	-316	-135	-543	13	101435982	101444187
-21	8	-5	-320	-138	-545	13	101444194	101449825
-21	8	-5	-322	-141	-545	13	101449832	101455721
-19	4	-1	-322	-141	-545	13	101455728	101461370
-19	4	-1	-322	-144	-544	13	101461377	101467037
-15	2	-1	-322	-144	-544	13	101467044	101473588
-14	0	-1	-321	-147	-542	13	101473595	101480367
-18	-12	4	-321	-151	-537	13	101480390	101487637
-18	-12	4	-319	-158	-531	12	101487644	101496244
-33	58	-100	-319	-158	-531	12	101496251	101501951
-52	-56	46	-304	-162	-515	12	101501962	101507696
-52	-56	46	-304	-162	-515	12	101507704	101513358
8	-1	16	-287	-159	-493	11	101513365	101519136
8	-1	16	-271	-158	-485	10	101519143	101526517
15	14	5	-267	-155	-482	10	101526525	101535076
-20	-15	12	-267	-155	-482	10	101535084	101543387
-24	10	-6	-275	-152	-481	10	101543394	101549488
-24	10	-6	-290	-151	-484	10	101549495	101555336
-20	21	-15	-290	-151	-484	10	101555343	101560988
-20	21	-15	-302	-146	-485	11	101560995	101566812
-17	10	-10	-302	-146	-485	11	101566820	101573192
-17	3	0	-307	-142	-479	10	101573199	101579061
